Password No., Original Entropy, Bcrypt Entropy, Argon2 Entropy
60, 3.1699, 5.1440, 5.4556
61, 3.1699, 5.2232, 5.4556
62, 3.3219, 5.1484, 5.4617
63, 2.9477, 5.3566, 5.4617
64, 3.2776, 5.1899, 5.5030
65, 3.2776, 4.9106, 5.3664
66, 3.0000, 4.8046, 5.5419
67, 3.5850, 4.9757, 5.5263
68, 3.0221, 5.0314, 5.4489
69, 3.3219, 5.0899, 5.4959
70, 3.4183, 4.9899, 5.4929
71, 3.1219, 4.8522, 5.4107
72, 3.0000, 5.0297, 5.3616
73, 3.0000, 5.1691, 5.5716
74, 3.0000, 5.1817, 5.5392
75, 3.4594, 5.0440, 5.4539
76, 3.0000, 5.1232, 5.3627
77, 3.4183, 5.2566, 5.3664
78, 3.3219, 4.9757, 5.3420
79, 3.0000, 5.1773, 5.5432
80, 2.9477, 5.0855, 5.3961
81, 3.4183, 5.0232, 5.5006
82, 3.1699, 5.2358, 5.4617
83, 3.4594, 5.2691, 5.6646
84, 3.0000, 5.1232, 5.5381
85, 3.4183, 5.0314, 5.4462
86, 3.4594, 5.2566, 5.3820
87, 3.1699, 5.0981, 5.4695
88, 2.7500, 4.8773, 5.4374
89, 3.1699, 5.1647, 5.4255
90, 3.2776, 5.1773, 5.4539
91, 3.4183, 5.0773, 5.4763
92, 3.5850, 5.1358, 5.3938
93, 3.0000, 5.0423, 5.3086
94, 3.3219, 5.2314, 5.3948
95, 3.4594, 5.0691, 5.4361
96, 3.3219, 5.0216, 5.4658
97, 3.4594, 5.2276, 5.4823
98, 3.3219, 5.1882, 5.4718
99, 3.5850, 5.2610, 5.4722
100, 3.3219, 5.1440, 5.4979
101, 3.1699, 5.2773, 5.3911
102, 3.1699, 5.0773, 5.3951
103, 3.1699, 4.9566, 5.4851
104, 3.0000, 5.0566, 5.4462
105, 3.2776, 5.1817, 5.4891
106, 2.5000, 5.1025, 5.3938
107, 3.4183, 5.1440, 5.3721
108, 3.2776, 5.1691, 5.5676
109, 3.1219, 5.1484, 5.5002
110, 3.3219, 4.9882, 5.5804
111, 3.1219, 4.9899, 5.2674
112, 3.4594, 5.0773, 5.5520
113, 2.9477, 5.1549, 5.5175
114, 3.1699, 5.1232, 5.4617
115, 3.1219, 5.1566, 5.3704
116, 2.9477, 4.9647, 5.5432
117, 3.1699, 5.0899, 5.5459
118, 3.0000, 5.1297, 5.3677
119, 2.5000, 5.0232, 5.5341
120, 3.4183, 5.1691, 5.4722
121, 2.9477, 5.2106, 5.5510
122, 2.9477, 5.0675, 5.3231
123, 3.4594, 5.1566, 5.4979
124, 3.1219, 4.9757, 5.5381
125, 3.3219, 5.1358, 5.3498
126, 3.2516, 4.9981, 5.5019
127, 3.0000, 5.1691, 5.4144
128, 3.5850, 4.9610, 5.4567
129, 3.2776, 5.0817, 5.5587
130, 3.0000, 5.1314, 5.5648
131, 3.4183, 4.8981, 5.3704
132, 3.5850, 5.3232, 5.5108
133, 3.3219, 5.1440, 5.4451
134, 3.4594, 5.1566, 5.3048
135, 3.4594, 5.0631, 5.4468
136, 3.3219, 4.9631, 5.2528
137, 3.0000, 5.1358, 5.3961
138, 2.7500, 5.2358, 5.6010
139, 3.3219, 5.0899, 5.4773
140, 3.0958, 5.2566, 5.5520
141, 3.2776, 5.1025, 5.5520
142, 3.3219, 5.1773, 5.3938
143, 3.0000, 5.1151, 5.4918
144, 2.7500, 5.0188, 5.4438
145, 3.0000, 5.1817, 5.2968
146, 3.1699, 5.0631, 5.5932
147, 3.0000, 4.9964, 5.4645
148, 2.9477, 5.1440, 5.5598
149, 3.4183, 5.2647, 5.3204
150, 3.1219, 5.0440, 5.5006
151, 3.4183, 5.1691, 5.4104
152, 3.4594, 5.2566, 5.4167
153, 3.1699, 5.2025, 5.4567
154, 3.1699, 5.1106, 5.3536
155, 3.2776, 4.9566, 5.5263
156, 3.0000, 5.0151, 5.4851
157, 2.9477, 5.1691, 5.5057
158, 3.1699, 5.1647, 5.3627
159, 3.1699, 5.0172, 5.4607
160, 3.1699, 4.9566, 5.3782
161, 3.1699, 5.1610, 5.4556
162, 3.1699, 5.2106, 5.4617
163, 3.3219, 5.1358, 5.5469
164, 3.5850, 5.2566, 5.4100
165, 2.7500, 4.9899, 5.5419
166, 3.3219, 5.0358, 5.3431
167, 3.0000, 4.8314, 5.6206
168, 3.4594, 5.0773, 5.3745
169, 2.9477, 5.1610, 5.5080
170, 3.0000, 5.0855, 5.5442
171, 3.2776, 5.0899, 5.4979
172, 3.3219, 5.0440, 5.4283
173, 3.1699, 5.0631, 5.5019
174, 3.4594, 5.0647, 5.4401
175, 3.0958, 4.7712, 5.4746
176, 3.0000, 5.2314, 5.3961
177, 3.3219, 5.0440, 5.4516
178, 3.3219, 5.0232, 5.4340
179, 3.0000, 5.2440, 5.4645
180, 3.2516, 5.1981, 5.3650
181, 3.4183, 5.1899, 5.4979
182, 3.5850, 5.1358, 5.2440
183, 3.3219, 4.8505, 5.5175
184, 3.5850, 5.2440, 5.4411
185, 3.2776, 5.1188, 5.4489
186, 3.1219, 5.1232, 5.4231
187, 3.4594, 5.0106, 5.3870
188, 3.0000, 5.1314, 5.4462
189, 3.4183, 5.0981, 5.4685
190, 3.0000, 5.1314, 5.4725
191, 3.2776, 5.0566, 5.4090
192, 3.2776, 5.2106, 5.4685
193, 3.3219, 5.1025, 5.4607
194, 3.3219, 5.1817, 5.3778
195, 3.4183, 5.1773, 5.3938
196, 2.9477, 5.3484, 5.4607
197, 3.0958, 5.1358, 5.4323
198, 3.3219, 5.3025, 5.5520
199, 3.0272, 5.1899, 5.3509
200, 3.5850, 5.1232, 5.5753
201, 2.7500, 4.9773, 5.4881
202, 3.5850, 4.9297, 5.2666
203, 3.2776, 5.0188, 5.4529
204, 3.1699, 5.1358, 5.4077
205, 3.3219, 4.9297, 5.4645
206, 3.2516, 5.0440, 5.4489
207, 3.5850, 5.0899, 5.4763
208, 3.4183, 5.0232, 5.4695
209, 3.4183, 5.1691, 5.5537
210, 3.5850, 5.2484, 5.5253
211, 3.0000, 5.2025, 5.4313
212, 2.9477, 4.9505, 5.4735
213, 3.4183, 4.9314, 5.5070
214, 3.4183, 5.0297, 5.2440
215, 3.1219, 5.0981, 5.4075
216, 3.5850, 5.2025, 5.4029
217, 3.3219, 4.9981, 5.4891
218, 3.5850, 5.1025, 5.6706
219, 3.4594, 4.9631, 5.4474
220, 3.5850, 4.9855, 5.4438
221, 3.2776, 5.2691, 5.5057
222, 3.2776, 5.1440, 5.3948
223, 3.0000, 4.9314, 5.5777
224, 3.4183, 5.0566, 5.4401
225, 3.3219, 5.1358, 5.3793
226, 2.9219, 5.1440, 5.4607
227, 3.5850, 4.8855, 5.5520
228, 3.4594, 5.0838, 5.3704
229, 3.4183, 5.3484, 5.5469
230, 3.5850, 5.1691, 5.3755
231, 3.1699, 4.9981, 5.4438
232, 3.1699, 5.2440, 5.5753
233, 3.4183, 5.1025, 5.3627
234, 2.7500, 4.9757, 5.5226
235, 2.7255, 5.2440, 5.3242
236, 3.3219, 5.1314, 5.4891
237, 2.9477, 5.0062, 5.4313
238, 3.0000, 4.8440, 5.3526
239, 3.0000, 5.1151, 5.5006
240, 3.3219, 5.3025, 5.5009
241, 3.0000, 5.2440, 5.5587
242, 3.5850, 4.7947, 5.4735
243, 3.1219, 4.9297, 5.4590
244, 3.1699, 5.2691, 5.4645
245, 3.2776, 4.9773, 5.5097
246, 3.0000, 4.9937, 5.4388
247, 3.3219, 5.0440, 5.4283
248, 3.4183, 5.2025, 5.5286
249, 3.5850, 5.0647, 5.3999
250, 3.0000, 5.2817, 5.5547
251, 3.4594, 5.0773, 5.3559
252, 3.4594, 4.9440, 5.4918
253, 3.0000, 5.0522, 5.3113
254, 3.4594, 5.0691, 5.4901
255, 3.3219, 5.0106, 5.4803
256, 3.3219, 5.0943, 5.4489
257, 3.1219, 5.1106, 5.3681
258, 3.4594, 5.0232, 5.3059
259, 3.0000, 5.0566, 5.4323
260, 3.4594, 5.2025, 5.4803
261, 2.9477, 5.1691, 5.6010
262, 3.3219, 5.2106, 5.5097
263, 3.1699, 5.0817, 5.3732
264, 3.0000, 5.1899, 5.4516
265, 3.5850, 5.1106, 5.4117
266, 2.9477, 5.2484, 5.5213
267, 3.2516, 5.2691, 5.4310
268, 3.5850, 5.1025, 5.5263
269, 3.5850, 5.2757, 5.4746
270, 2.9477, 5.1899, 5.5108
271, 3.0000, 5.1090, 5.5821
272, 3.0000, 5.2484, 5.5097
273, 3.4594, 5.1817, 5.4969
274, 3.0000, 5.0522, 5.4205
275, 2.7255, 4.7647, 5.3576
276, 3.1219, 5.0981, 5.5087
277, 3.4183, 5.2566, 5.5135
278, 3.4594, 5.1106, 5.4154
279, 3.5850, 4.9899, 5.5097
280, 3.4183, 5.2025, 5.6088
281, 3.4594, 5.0757, 5.4516
282, 3.5850, 5.1008, 5.3614
283, 2.9477, 5.0188, 5.5469
284, 3.0958, 4.9899, 5.4411
285, 3.0000, 5.0440, 5.3627
286, 3.3219, 4.9712, 5.5331
287, 3.1219, 5.2232, 5.3938
288, 3.3219, 4.9297, 5.4929
289, 3.3219, 5.0188, 5.2941
290, 3.0000, 5.0440, 5.5030
291, 2.7500, 5.2025, 5.3177
292, 3.5850, 5.2232, 5.4438
293, 3.5850, 4.9106, 5.3448
294, 3.3219, 5.1691, 5.4049
295, 3.1699, 5.1610, 5.2409
296, 2.7500, 5.1817, 5.3637
297, 3.4594, 5.0232, 5.5960
298, 3.2776, 5.0440, 5.5442
299, 3.2776, 5.1314, 5.4374
300, 2.7500, 5.0025, 5.4077
301, 3.1699, 5.0314, 5.5303
302, 2.7500, 5.0396, 5.4195
303, 3.3219, 5.1773, 5.5314
304, 3.4183, 5.2232, 5.5158
305, 2.9477, 5.1106, 5.4489
306, 3.0000, 5.2484, 5.4830
307, 3.4594, 5.0773, 5.3113
308, 3.1699, 5.1314, 5.5148
309, 2.7500, 5.1232, 5.5547
310, 3.1219, 5.1549, 5.2200
311, 3.1699, 5.0566, 5.6088
312, 3.0850, 5.0106, 5.3974
313, 3.2516, 5.1691, 5.3715
314, 3.2776, 5.2025, 5.6155
315, 2.9477, 5.1549, 5.5080
316, 3.4183, 5.1358, 5.3355
317, 3.4183, 5.0062, 5.5226
318, 3.4183, 5.0358, 5.4438
319, 3.0000, 5.0314, 5.3687
320, 3.1219, 4.7522, 5.4283
321, 3.0000, 4.9757, 5.5019
322, 3.5850, 5.0440, 5.5097
323, 3.0000, 4.9838, 5.4773
324, 3.0000, 5.1566, 5.4645
325, 3.2776, 5.0188, 5.4411
326, 3.1219, 4.9964, 5.5263
327, 3.0000, 5.0691, 5.3664
328, 2.9477, 4.9172, 5.5392
329, 3.3219, 5.1440, 5.3810
330, 3.2516, 5.2232, 5.3715
331, 2.9477, 5.0882, 5.3721
332, 3.1699, 5.0899, 5.5108
333, 3.3219, 5.0773, 5.5286
334, 3.0000, 5.0566, 5.4178
335, 3.3219, 5.0899, 5.4512
336, 3.0000, 5.0566, 5.5108
337, 3.1219, 4.9549, 5.4438
338, 2.9219, 5.0232, 5.4529
339, 2.7500, 5.1691, 5.4918
340, 3.0000, 5.1773, 5.4675
341, 3.1699, 4.9964, 5.4310
342, 3.3219, 5.0773, 5.2920
343, 3.2776, 5.0172, 5.5648
344, 3.5850, 5.0025, 5.4823
345, 3.4183, 5.1423, 5.4222
346, 3.4183, 5.2358, 5.5909
347, 3.4183, 4.9882, 5.4077
348, 3.5850, 5.0757, 5.4763
349, 3.3219, 5.1106, 5.4645
350, 3.5850, 4.8631, 5.4462
351, 3.0000, 5.0440, 5.4695
352, 3.4594, 5.1899, 5.4746
353, 3.0000, 4.9773, 5.4959
354, 3.4183, 5.3025, 5.5135
355, 3.4183, 5.3232, 5.5175
356, 3.1699, 4.8396, 5.4195
357, 3.5850, 5.1440, 5.4864
358, 3.3219, 5.3151, 5.4992
359, 3.1699, 5.1025, 5.4117
360, 2.7500, 5.0440, 5.4361
361, 3.3219, 5.0232, 5.5648
362, 3.2776, 5.0232, 5.4466
363, 3.2776, 5.2151, 5.3961
364, 3.3219, 5.1566, 5.5598
365, 3.0000, 5.1440, 5.3742
366, 2.7500, 4.9566, 5.4401
367, 3.2776, 4.9691, 5.3126
368, 3.4594, 5.2151, 5.4952
369, 3.2776, 5.2691, 5.4979
370, 3.1699, 5.0549, 5.6321
371, 3.1699, 5.0981, 5.3234
372, 3.4183, 5.1188, 5.3225
373, 2.7500, 5.2025, 5.4952
374, 3.1699, 5.0981, 5.5185
375, 2.7500, 4.8216, 5.3988
376, 3.1219, 5.0773, 5.5135
377, 3.4594, 5.2151, 5.4952
378, 3.3219, 4.9232, 5.4567
379, 3.5850, 5.1943, 5.5057
380, 2.7500, 4.9729, 5.3823
381, 3.2516, 5.0314, 5.4929
382, 3.1219, 5.2232, 5.3265
383, 3.3219, 5.2484, 5.4773
384, 3.0958, 5.3232, 5.5019
385, 3.4594, 5.1440, 5.3380
386, 3.0000, 5.1314, 5.5676
387, 3.0958, 5.2358, 5.4313
388, 3.2776, 4.9488, 5.5042
389, 3.1699, 5.0172, 5.4722
390, 3.1699, 4.9981, 5.4675
391, 3.2776, 5.0647, 5.3370
392, 3.0000, 5.1773, 5.4411
393, 3.1699, 5.0899, 5.5364
394, 3.1699, 5.1440, 5.3330
395, 2.9477, 5.0981, 5.3938
396, 3.0000, 5.1484, 5.3978
397, 3.2776, 4.9981, 5.4235
398, 3.5850, 5.1691, 5.6078
399, 3.0000, 5.0773, 5.5932
400, 3.4183, 5.0232, 5.5960
401, 3.1699, 5.1691, 5.5314
402, 3.0000, 5.1232, 5.5703
403, 3.4183, 5.3610, 5.5314
404, 3.0000, 5.2817, 5.4823
405, 3.0000, 5.1882, 5.3900
406, 3.0000, 4.9981, 5.3330
407, 3.1699, 4.9587, 5.5303
408, 2.9477, 5.2025, 5.5108
409, 3.5850, 5.1773, 5.4556
410, 3.3219, 5.1314, 5.5047
411, 3.0000, 5.0297, 5.4695
412, 3.1699, 5.0981, 5.4411
413, 3.5850, 4.9964, 5.6037
414, 3.3219, 4.9172, 5.4813
415, 3.4183, 5.1297, 5.5777
416, 3.3219, 4.9603, 5.4184
417, 3.3219, 4.8729, 5.4255
418, 3.4183, 4.9647, 5.4479
419, 3.4594, 5.1314, 5.4411
420, 3.0000, 5.1647, 5.3380
421, 3.1699, 5.1566, 5.4462
422, 3.4594, 5.1314, 5.5185
423, 3.0000, 5.1025, 5.4154
424, 3.4183, 5.1566, 5.5442
425, 3.4594, 5.2691, 5.4262
426, 3.2516, 5.1566, 5.4645
427, 3.5850, 5.0188, 5.4077
428, 3.0000, 5.1691, 5.4645
429, 3.2776, 5.4151, 5.5392
430, 3.4183, 5.1773, 5.4350
431, 2.9477, 5.1566, 5.4489
432, 3.4183, 5.0773, 5.3948
433, 3.5850, 5.1647, 5.4195
434, 3.1699, 5.1484, 5.5419
435, 3.0000, 5.3151, 5.5314
436, 3.5850, 4.8773, 5.5226
437, 3.4594, 4.9440, 5.5253
438, 3.4594, 5.1106, 5.4658
439, 2.9477, 5.0899, 5.4567
440, 3.3219, 5.1358, 5.4901
441, 3.0000, 5.1106, 5.4942
442, 3.4594, 4.9647, 5.3921
443, 3.1699, 4.9188, 5.5854
444, 3.1219, 5.2025, 5.4323
445, 3.1699, 5.1691, 5.4823
446, 3.3219, 5.2691, 5.4597
447, 3.3219, 5.1440, 5.3471
448, 3.1699, 4.9188, 5.5442
449, 3.3219, 5.0855, 5.5314
450, 3.2776, 5.1440, 5.4695
451, 3.0000, 5.0757, 5.3921
452, 3.1699, 5.1566, 5.5108
453, 3.1219, 5.1314, 5.5185
454, 3.0000, 5.0773, 5.4262
455, 3.4594, 4.9981, 5.4695
456, 3.4183, 5.0647, 5.4411
457, 3.1699, 4.9647, 5.4232
458, 3.2776, 5.1691, 5.2815
459, 3.0000, 5.1025, 5.5716
460, 3.1699, 5.0691, 5.3782
461, 3.1699, 5.0566, 5.4184
462, 2.9477, 5.2440, 5.4384
463, 3.1699, 4.9314, 5.5442
464, 2.7500, 5.0106, 5.3265
465, 3.1699, 5.3025, 5.4823
466, 3.4594, 5.2566, 5.3873
467, 3.4594, 5.0981, 5.3843
468, 3.2776, 5.1484, 5.5314
469, 3.4594, 4.9566, 5.2663
470, 2.9477, 4.9106, 5.4823
471, 3.3219, 5.0297, 5.4685
472, 2.7500, 5.1106, 5.4556
473, 3.1699, 5.0379, 5.4245
474, 3.0000, 5.1106, 5.3099
475, 2.7500, 5.1025, 5.4979
476, 3.0000, 5.0188, 5.4438
477, 3.3219, 5.0855, 5.3999
478, 3.0000, 5.1232, 5.4374
479, 2.7219, 5.2025, 5.3742
480, 3.0000, 5.3358, 5.4104
481, 3.1219, 5.0899, 5.5753
482, 3.3219, 5.1440, 5.5080
483, 3.1699, 5.3025, 5.5547
484, 2.7500, 5.0855, 5.4813
485, 3.1219, 5.2151, 5.5175
486, 3.1699, 5.2232, 5.3448
487, 2.9477, 5.0773, 5.4502
488, 3.4594, 5.1773, 5.4117
489, 3.3219, 5.0647, 5.4127
490, 3.0000, 5.2358, 5.5135
491, 3.2516, 4.9505, 5.4529
492, 3.0000, 5.2025, 5.3833
493, 3.1699, 4.9981, 5.3214
494, 3.0000, 5.1899, 5.4519
495, 3.5850, 4.9314, 5.4645
496, 3.3219, 5.2358, 5.4607
497, 3.3219, 5.2106, 5.3614
498, 2.9477, 5.0297, 5.6166
499, 3.4183, 5.2232, 5.4391
500, 3.0000, 5.0297, 5.5547
501, 3.0000, 5.1106, 5.3164
502, 3.1219, 5.2025, 5.4026
503, 3.0000, 5.0566, 5.5794
504, 3.0000, 5.1440, 5.5804
505, 3.2776, 5.0647, 5.5598
506, 3.1699, 5.1773, 5.4634
507, 3.0000, 5.0691, 5.4222
508, 3.3219, 5.0773, 5.4107
509, 3.5850, 5.1314, 5.4462
510, 3.5850, 5.0981, 5.3938
511, 3.1699, 4.9314, 5.5057
512, 3.4594, 5.1440, 5.3282
513, 3.1219, 4.9488, 5.3870
514, 3.2776, 5.1691, 5.5364
515, 3.0000, 5.0566, 5.3586
516, 3.1219, 5.2106, 5.3843
517, 3.4183, 5.0566, 5.6115
518, 3.3219, 5.1314, 5.4117
519, 3.0000, 5.0899, 5.3833
520, 3.3219, 5.1276, 5.4401
521, 3.3219, 5.0773, 5.3782
522, 3.0000, 5.0090, 5.4840
523, 3.4594, 5.1440, 5.4918
524, 3.4594, 5.1440, 5.4878
525, 3.0000, 5.1106, 5.3528
526, 3.1699, 5.1106, 5.3536
527, 3.1699, 4.9587, 5.5006
528, 3.4594, 5.1691, 5.4506
529, 3.4183, 5.1899, 5.3755
530, 3.1699, 5.1691, 5.4011
531, 3.4183, 5.1358, 5.3586
532, 3.4594, 5.1025, 5.3911
533, 3.3219, 5.2151, 5.3576
534, 3.1219, 5.1232, 5.5009
535, 3.1219, 5.2025, 5.5777
536, 3.5850, 5.2232, 5.5047
537, 3.1699, 5.3484, 5.4255
538, 3.1699, 5.1899, 5.5520
539, 3.0000, 5.2691, 5.5570
540, 3.4594, 5.0314, 5.3961
541, 2.5000, 5.2358, 5.4127
542, 3.0958, 5.0981, 5.4438
543, 3.1699, 5.1440, 5.4634
544, 3.1219, 5.1358, 5.4823
545, 2.7500, 5.1647, 5.4462
546, 2.7500, 5.1566, 5.5676
547, 2.7500, 5.3151, 5.5185
548, 3.1887, 5.0232, 5.3704
549, 3.3219, 5.1232, 5.5676
550, 3.1699, 4.9773, 5.4658
551, 3.4594, 5.1216, 5.4813
552, 3.1699, 5.1773, 5.4438
553, 3.1219, 4.8188, 5.4283
554, 3.0000, 5.0440, 5.4685
555, 3.2776, 4.9396, 5.5314
556, 3.4594, 5.1423, 5.3292
557, 3.0000, 4.9106, 5.4851
558, 3.4183, 5.1773, 5.5331
559, 3.2776, 5.0549, 5.4546
560, 3.3219, 5.1423, 5.5263
561, 3.3219, 5.1232, 5.4851
562, 2.9477, 4.8981, 5.4658
563, 3.0958, 5.0188, 5.4942
564, 3.4183, 5.0151, 5.5415
565, 3.5850, 5.1522, 5.6166
566, 3.0000, 4.8920, 5.5331
567, 3.5850, 5.0106, 5.4634
568, 3.4183, 5.0691, 5.3911
569, 3.3219, 4.9981, 5.3536
570, 3.0000, 5.2232, 5.4567
571, 3.3219, 5.3025, 5.4107
572, 3.1699, 5.1691, 5.5419
573, 2.7500, 4.9603, 5.3644
574, 2.7500, 4.9106, 5.4350
575, 3.4594, 5.0691, 5.5960
576, 3.3219, 4.9712, 5.3870
577, 3.1219, 5.0090, 5.4891
578, 3.0000, 5.2484, 5.2968
579, 3.0000, 5.1025, 5.4901
580, 3.1699, 5.0899, 5.5263
581, 3.4594, 5.3817, 5.4567
582, 3.0000, 5.0981, 5.5030
583, 3.3219, 5.1314, 5.4489
584, 3.4594, 5.1232, 5.5070
585, 3.5850, 5.2691, 5.4722
586, 3.4183, 4.9232, 5.3566
587, 3.0000, 5.0566, 5.5432
588, 3.1699, 5.0358, 5.5469
589, 2.9477, 4.9522, 5.4516
590, 3.1219, 5.1440, 5.3330
591, 2.9477, 5.1817, 5.3485
592, 3.2516, 5.0297, 5.3360
593, 3.3219, 5.0484, 5.6267
594, 3.5850, 4.8106, 5.3420
595, 3.2776, 5.0440, 5.5175
596, 3.3219, 5.0440, 5.4117
597, 3.3219, 5.1773, 5.2737
598, 3.4183, 5.1773, 5.2497
599, 3.0272, 4.9647, 5.4323
600, 3.1699, 5.3566, 5.5263
601, 3.0221, 4.9566, 5.4773
602, 3.5850, 5.1440, 5.4451
603, 3.4183, 4.9232, 5.4891
604, 3.0000, 4.7773, 5.4634
605, 3.3219, 5.0232, 5.4529
606, 3.0958, 5.1440, 5.4813
607, 3.5850, 4.9899, 5.3475
608, 3.2516, 4.9712, 5.4918
609, 3.4183, 5.0899, 5.2495
610, 3.1699, 4.9172, 5.4556
611, 3.3219, 4.9981, 5.4796
612, 3.5850, 5.2899, 5.4567
613, 3.0000, 5.0566, 5.4313
614, 2.7255, 4.9440, 5.4195
615, 3.0000, 4.8838, 5.3242
616, 3.4183, 5.1757, 5.4901
617, 2.7255, 5.1025, 5.3870
618, 3.2776, 5.1773, 5.3694
619, 3.0000, 5.0440, 5.3843
620, 3.0000, 5.1106, 5.4283
621, 3.4183, 5.0964, 5.3793
622, 3.5850, 5.2276, 5.5392
623, 3.0000, 5.0358, 5.5932
624, 3.1219, 5.1423, 5.4346
625, 3.4594, 5.3484, 5.4979
626, 3.1219, 5.2232, 5.6138
627, 3.4594, 4.8773, 5.4952
628, 3.5850, 5.1232, 5.3572
629, 3.1699, 4.9440, 5.5019
630, 2.9477, 5.1151, 5.3772
631, 3.1699, 5.2232, 5.3225
632, 3.1699, 4.9712, 5.4340
633, 2.4056, 5.2151, 5.5392
634, 3.1699, 5.0964, 5.5341
635, 3.0000, 5.1232, 5.5547
636, 3.4594, 5.0899, 5.4901
637, 3.3219, 5.0276, 5.4823
638, 3.5850, 5.1610, 5.5057
639, 3.0000, 4.9396, 5.4881
640, 2.9477, 5.2106, 5.5080
641, 3.4594, 5.1025, 5.4428
642, 3.1699, 4.8899, 5.5922
643, 3.1699, 5.1817, 5.5057
644, 3.1699, 5.0440, 5.5716
645, 3.3219, 5.0232, 5.4205
646, 3.0000, 5.0396, 5.3576
647, 3.4183, 4.9899, 5.4901
648, 3.5850, 5.3151, 5.4361
649, 3.1699, 5.0981, 5.4529
650, 3.3219, 5.1358, 5.5587
651, 3.1219, 4.9964, 5.4617
652, 2.9477, 4.9729, 5.4077
653, 3.1699, 5.0899, 5.4323
654, 3.1219, 4.9757, 5.4094
655, 3.4594, 5.0981, 5.5209
656, 3.5850, 5.1440, 5.4607
657, 3.4594, 5.1440, 5.4929
658, 3.1219, 5.1566, 5.4313
659, 3.0000, 5.2232, 5.5354
660, 2.9477, 5.0188, 5.2945
661, 3.0000, 4.9981, 5.5459
662, 3.4594, 4.8855, 5.5648
663, 3.1699, 4.8505, 5.4979
664, 2.9477, 5.1773, 5.4645
665, 3.2776, 5.0899, 5.4350
666, 3.4594, 5.1773, 5.2998
667, 3.1699, 5.1773, 5.3833
668, 3.3219, 4.9757, 5.3475
669, 3.1699, 4.8631, 5.5286
670, 3.3219, 5.3151, 5.4296
671, 3.1699, 4.9981, 5.5213
672, 3.3219, 4.9505, 5.2947
673, 3.2776, 4.9773, 5.5175
674, 3.1699, 5.0838, 5.5286
675, 3.0000, 5.1314, 5.4361
676, 2.7500, 5.0773, 5.4384
677, 3.2516, 5.2232, 5.4479
678, 3.2776, 5.0314, 5.5648
679, 3.1219, 4.9440, 5.5726
680, 3.1699, 5.1899, 5.5520
681, 3.0000, 5.2566, 5.5459
682, 3.4183, 5.2773, 5.5871
683, 3.4594, 5.1232, 5.2880
684, 3.0000, 5.2314, 5.4516
685, 3.3219, 5.0899, 5.3343
686, 3.4594, 4.9297, 5.3988
687, 3.1699, 5.0188, 5.4205
688, 3.0000, 5.2817, 5.4979
689, 2.7500, 5.0647, 5.3343
690, 3.0000, 5.2106, 5.4735
691, 3.3219, 5.1314, 5.4735
692, 3.4594, 4.9505, 5.4232
693, 3.5850, 4.9155, 5.5057
694, 3.4183, 4.9647, 5.4539
695, 3.1699, 5.2817, 5.3833
696, 2.9477, 5.1817, 5.4361
